URL,Performance Score,Accessibility Score,Best Practices Score,SEO Score,Speed Index Score,Speed Index Value,Total Byte Weight Score,Total Byte Weight Value,First Contentful Paint Score,First Contentful Paint Value,Interactive Score,Interactive Value
https://www.pimco.com/en-us/?showSplash=0,0.10,0.47,0.50,0.73,0.02,13.67,0.31,4816.67,0.38,4.67,0.01,24.67
https://www.pimco.com/en-us/?showsplash=1,0.02,0.81,0.79,1.00,0.02,14.00,0.97,2272.33,0.01,10.67,0.04,17.67
https://www.pimco.com/en-us/investments/mutual-funds/income-fund/inst/?showSplash=0,0.02,0.47,0.64,0.82,0.01,16.00,0.79,3164.67,0.06,7.33,0.00,29.00
https://www.pimco.com/en-us/income/?showSplash=0,0.21,0.67,0.57,0.82,0.06,10.67,0.93,2543.67,0.88,2.00,0.02,22.00
https://www.pimco.com/en-us/investments/mutual-funds/?showSplash=0,0.04,0.59,0.64,0.91,0.01,16.00,0.94,2521.67,0.13,6.33,0.01,24.33
